Store Name,Address,City,State,Zip Code,Longitude,Latitude
Macy's Albany - Crossgates Mall,"120 Washington Ave Ext Ste 49, Albany, NY 12203", Albany,NY,12203,-73.85397012,42.69145991
Macy's Colonie,"200 Colonie Ctr, Albany, NY 12205", Albany,NY,12205,-73.82025660,42.70658500
Macy's Boulevard,"1255 Niagara Falls Blvd, Amherst, NY 14226", Amherst,NY,14226,-78.81904620,42.98865500
Macy's SouthShore,"1653 Sunrise Highway, Bay Shore, NY 11706", Bay Shore,NY,11706,-73.25645730,40.73363470
Macy's Parkchester,"1441 Metropolitan Ave Fl 2, Bronx, NY 10462", Bronx,NY,10462,-73.86125600,40.83660848
Macy's Bay Plaza,"250 Baychester Ave, Bronx, NY 10475", Bronx,NY,10475,-73.82841650,40.86273030
Macy's Kings Plaza,"5400 Avenue U, Brooklyn, NY 11234", Brooklyn,NY,11234,-73.92324130,40.60924770
Macy's Walden Galleria,"4 Walden Galleria, Buffalo, NY 14225", Buffalo,NY,14225,-78.76315480,42.91103940
Macy's Carle Place Furniture and Mattress Gallery,"155 Glen Cove Road, Carle Place, NY 11514", Carle Place,NY,11514,-73.61578180,40.74541280
Macy's Furniture Clearance Center Carle Place Furniture Clearance Center,"155 Glen Cover Road, Carle Place, NY 11514", Carle Place,NY,11514,-73.61575213,40.74551312
Macy's Queens Furniture and Mattress Gallery,"88-01 Queens Boulevard, Elmhurst, NY 11373", Elmhurst,NY,11373,-73.87425990,40.73573480
Macy's Queens - Rego Park,"9001 Queens Blvd, Elmhurst, NY 11373", Elmhurst,NY,11373,-73.87737220,40.73633300
Macy's Backstage Queens Place,"88-01 Queens Boulevard, Elmhurst, NY 11373", Elmhurst,NY,11373,-73.87425990,40.73573480
Macy's Flushing,"13650 Roosevelt Ave, Flushing, NY 11354", Flushing,NY,11354,-73.81778190,40.76278300
Macy's Roosevelt Field,"630 Old Country Rd Unit A3, Unit A3, Garden City, NY 11530",Garden City,NY,11530,-73.61280289,40.73639536
Macy's Hampton Bays,"190 W Montauk Hwy, Hampton Bays, NY 11946", Hampton Bays,NY,11946,-72.53693620,40.87633240
Macy's Walt Whitman Mall,"180 Walt Whitman Road, Huntington Station, NY 11746", Huntington Station,NY,11746,-73.41031590,40.82178420
Macy's Smith Haven,"2 Smith Haven Mall, Lake Grove, NY 11755", Lake Grove,NY,11755,-73.12559100,40.86344500
Macy's Smith Haven Furniture and Mattress Gallery,"580 Smith Haven Mall, Lake Grove, NY 11755", Lake Grove,NY,11755,-73.12757790,40.86328020
Macy's Manhasset,"1100 Northern Blvd, Manhasset, NY 11030", Manhasset,NY,11030,-73.70233140,40.78931050
Macy's Middletown,"1 N Galleria Dr Ste 131, Middletown, NY 10941", Middletown,NY,10941,-74.37078968,41.45300183
Macy's Herald Square,"151 West 34th Street, New York, NY 10001", New York,NY,10001,-73.98925510,40.75088950
Macy's Poughkeepsie Galleria,"2001 South Rd Ste 254, Poughkeepsie, NY 12601", Poughkeepsie,NY,12601,-73.92067746,41.62828991
Macy's Staten Island,"100 Richmond Hill Rd, Staten Island, NY 10314", Staten Island,NY,10314,-74.16413800,40.58684800
Macy's Destiny USA,"9509 Destiny Usa Dr Fl 2, Syracuse, NY 13204", Syracuse,NY,13204,-76.17250339,43.07153006
Macy's Green Acres,"1000 Green Acres Mall, Valley Stream, NY 11581", Valley Stream,NY,11581,-73.72188720,40.66292770
Macy's Eastview Mall,"100 Eastview Mall, Victor, NY 14564", Victor,NY,14564,-77.44190520,43.02768040
Macy's Palisades Center,"1920 Palisades Center Dr, West Nyack, NY 10994", West Nyack,NY,10994,-73.95526600,41.09470320
Macy's Cross County,"800 Central Park Ave Ste 1, Yonkers, NY 10704", Yonkers,NY,10704,-73.85562965,40.92881167
Macy's Yorktown,"700 Lee Blvd, Jefferson Valley Mall, Yorktown Heights, NY 10598",Yorktown Heights,NY,10598,-73.80934142,41.32918482
